,entry_strategies,exit_strategies,profit_mean,profit_min,profit_max
202,"Force Entry, MACD Entry",Keltner Exit,24.01098901098901,-220.0,700.0
1478,"PVO Entry, Keltner Entry","MFI Exit, MACD Exit",23.791208791208792,-193.0,435.0
143,"Force Entry, Keltner Entry",Force Exit,23.516483516483518,-287.0,383.0
1734,"PVO Entry, RSI Entry, Bollinger Entry",RSI Exit,23.36263736263736,-120.0,578.0
810,MFI Entry,"Force Exit, TSI Exit",23.318681318681318,-539.0,907.0
324,"Force Entry, MACD Entry, Keltner Entry",RSI Exit,23.142857142857142,-127.0,319.0
1828,"PVO Entry, TSI Entry",RSI Exit,23.10989010989011,-116.0,199.0
804,MFI Entry,"Force Exit, MACD Exit",22.98901098901099,-539.0,697.0
1521,"PVO Entry, MACD Entry","MACD Exit, Keltner Exit",22.967032967032967,-127.0,339.0
488,"Force Entry, TSI Entry",MFI Exit,22.934065934065934,-135.0,220.0
1431,"PVO Entry, Bollinger Entry","MFI Exit, MACD Exit",22.835164835164836,-185.0,294.0
813,MFI Entry,Keltner Exit,22.747252747252748,-374.0,416.0
666,MACD Entry,"Force Exit, RSI Exit",22.64835164835165,-542.0,914.0
2173,"TSI Entry, Keltner Entry","Force Exit, TSI Exit",22.285714285714285,-155.0,748.0
2167,"TSI Entry, Keltner Entry","Force Exit, MACD Exit",22.164835164835164,-128.0,637.0
186,"Force Entry, Keltner Entry",TSI Exit,22.153846153846153,-229.0,484.0
1670,"PVO Entry, RSI Entry","MFI Exit, RSI Exit, Bollinger Exit",22.065934065934066,-112.0,460.0
1371,PVO Entry,"Force Exit, RSI Exit",22.065934065934066,-450.0,736.0
1509,"PVO Entry, MACD Entry","Force Exit, MACD Exit",21.967032967032967,-450.0,728.0
1710,"PVO Entry, RSI Entry, Bollinger Entry",MFI Exit,21.846153846153847,-105.0,604.0
1370,PVO Entry,"Force Exit, MACD Exit, Keltner Exit",21.835164835164836,-450.0,532.0
162,"Force Entry, Keltner Entry","MFI Exit, MACD Exit",21.516483516483518,-287.0,273.0
2073,TSI Entry,"Force Exit, MACD Exit",21.417582417582416,-503.0,637.0
513,"Force Entry, TSI Entry","RSI Exit, Bollinger Exit",21.175824175824175,-134.0,335.0
1975,"RSI Entry, Bollinger Entry",Bollinger Exit,21.175824175824175,-144.0,527.0
1942,RSI Entry,MACD Exit,21.153846153846153,-118.0,340.0
1688,"PVO Entry, RSI Entry","RSI Exit, Bollinger Exit",21.142857142857142,-112.0,302.0
155,"Force Entry, Keltner Entry",Keltner Exit,21.054945054945055,-152.0,384.0
641,Keltner Entry,PVO Exit,21.01098901098901,-341.0,600.0
6,Bollinger Entry,"Force Exit, MACD Exit, Keltner Exit",20.9010989010989,-364.0,912.0
142,"Force Entry, Keltner Entry",Bollinger Exit,20.824175824175825,-110.0,194.0
1499,"PVO Entry, Keltner Entry",RSI Exit,20.67032967032967,-375.0,373.0
300,"Force Entry, MACD Entry, Keltner Entry",MFI Exit,20.505494505494507,-127.0,251.0
286,"Force Entry, MACD Entry, Keltner Entry","Force Exit, Keltner Exit",20.395604395604394,-127.0,359.0
1123,"MFI Entry, RSI Entry",RSI Exit,20.208791208791208,-105.0,360.0
152,"Force Entry, Keltner Entry","Force Exit, TSI Exit",19.967032967032967,-287.0,484.0
1105,"MFI Entry, RSI Entry","MFI Exit, RSI Exit",19.923076923076923,-105.0,390.0
471,"Force Entry, TSI Entry",Bollinger Exit,19.747252747252748,-60.0,227.0
1641,"PVO Entry, MACD Entry, Keltner Entry","RSI Exit, Bollinger Exit",19.725274725274726,-110.0,350.0
489,"Force Entry, TSI Entry","MFI Exit, Bollinger Exit",19.615384615384617,-237.0,363.0
935,"MFI Entry, Keltner Entry",RSI Exit,18.967032967032967,-125.0,349.0
1999,"RSI Entry, Bollinger Entry","MFI Exit, RSI Exit, Bollinger Exit",18.846153846153847,-120.0,334.0
1600,"PVO Entry, MACD Entry, Keltner Entry",Force Exit,18.76923076923077,-110.0,383.0
1425,"PVO Entry, Bollinger Entry",MACD Exit,18.75824175824176,-185.0,291.0
624,Keltner Entry,"Force Exit, TSI Exit, Keltner Exit",18.714285714285715,-341.0,733.0
760,"MACD Entry, Keltner Entry","Force Exit, RSI Exit",18.65934065934066,-565.0,760.0
1807,"PVO Entry, TSI Entry","MFI Exit, MACD Exit",18.604395604395606,-116.0,455.0
512,"Force Entry, TSI Entry",RSI Exit,18.560439560439562,-120.0,261.0
1619,"PVO Entry, MACD Entry, Keltner Entry","MFI Exit, MACD Exit",18.45054945054945,-122.0,435.0
1502,"PVO Entry, Keltner Entry",TSI Exit,18.175824175824175,-207.0,588.0
296,"Force Entry, MACD Entry, Keltner Entry",Keltner Exit,17.9010989010989,-81.0,384.0
1602,"PVO Entry, MACD Entry, Keltner Entry","Force Exit, Keltner Exit",17.791208791208792,-110.0,359.0
146,"Force Entry, Keltner Entry","Force Exit, MACD Exit",17.615384615384617,-287.0,339.0
1711,"PVO Entry, RSI Entry, Bollinger Entry","MFI Exit, Bollinger Exit",17.516483516483518,-120.0,334.0
801,MFI Entry,Force Exit,17.494505494505493,-488.0,496.0
955,"MFI Entry, MACD Entry",MACD Exit,17.46153846153846,-294.0,470.0
1099,"MFI Entry, RSI Entry",MFI Exit,17.439560439560438,-105.0,390.0
917,"MFI Entry, Keltner Entry","MFI Exit, RSI Exit",17.395604395604394,-125.0,364.0
803,MFI Entry,"Force Exit, Keltner Exit",17.252747252747252,-539.0,416.0
1472,"PVO Entry, Keltner Entry",MACD Exit,17.054945054945055,-129.0,272.0
